Phoenix,AZ,"('159.46', 'Very High')","('46.94', 'Moderate')","('65.93', 'High')","('53.76', 'Moderate')","('66.00', 'Moderate')","('4.09', 'Very Low')","('32.74', 'Low')","('57.70', 'Moderate')","('166.03', 'Very High')"
Detroit,MI,"('129.72', 'Very High')","('26.95', 'Low')","('62.41', 'High')","('66.03', 'High')","('63.24', 'Moderate')","('2.01', 'Very Low')","('44.19', 'High')","('62.23', 'High')","('140.42', 'Moderate')"
Seattle,WA,"('188.00', 'Very High')","('45.65', 'Moderate')","('66.65', 'High')","('91.73', 'Very High')","('82.43', 'High')","('4.53', 'Very Low')","('42.57', 'High')","('40.54', 'Moderate')","('194.17', 'Very High')"
San Francisco,CA,"('172.74', 'Very High')","('38.80', 'Low')","('64.77', 'High')","('97.26', 'Very High')","('90.39', 'High')","('7.20', 'Low')","('49.53', 'High')","('50.03', 'Moderate')","('172.47', 'Very High')"
San Diego,CA,"('146.16', 'Very High')","('60.09', 'High')","('68.02', 'High')","('97.08', 'Very High')","('76.69', 'High')","('7.56', 'Low')","('34.65', 'Low')","('38.93', 'Low')","('189.58', 'Very High')"
Minneapolis,MN,"('168.57', 'Very High')","('44.36', 'Moderate')","('71.68', 'High')","('49.46', 'Moderate')","('67.93', 'Moderate')","('3.45', 'Very Low')","('35.43', 'Moderate')","('28.72', 'Low')","('187.66', 'Very High')"
Tampa,FL,"('156.06', 'Very High')","('53.85', 'Moderate')","('66.81', 'High')","('84.67', 'Very High')","('70.22', 'Moderate')","('3.33', 'Very Low')","('36.54', 'Moderate')","('32.46', 'Low')","('194.04', 'Very High')"
Denver,CO,"('160.00', 'Very High')","('52.16', 'Moderate')","('68.97', 'High')","('56.28', 'Moderate')","('71.87', 'Moderate')","('4.09', 'Very Low')","('35.63', 'Moderate')","('44.03', 'Moderate')","('177.99', 'Very High')"
Las Vegas,NV,"('151.42', 'Very High')","('44.20', 'Moderate')","('53.71', 'Moderate')","('57.40', 'Moderate')","('64.28', 'Moderate')","('3.69', 'Very Low')","('27.30', 'Low')","('52.04', 'Moderate')","('164.83', 'Very High')"
Baltimore,MD,"('141.48', 'Very High')","('27.62', 'Low')","('76.36', 'High')","('81.24', 'Very High')","('66.84', 'Moderate')","('2.55', 'Very Low')","('31.71', 'Low')","('52.01', 'Moderate')","('168.26', 'Very High')"
Saint Louis,MO,"('174.03', 'Very High')","('30.26', 'Low')","('73.47', 'High')","('74.75', 'High')","('62.98', 'Moderate')","('2.06', 'Very Low')","('27.07', 'Low')","('37.47', 'Low')","('192.18', 'Very High')"
Portland,OR,"('160.09', 'Very High')","('43.08', 'Moderate')","('68.46', 'High')","('89.56', 'Very High')","('70.17', 'Moderate')","('3.71', 'Very Low')","('32.65', 'Low')","('33.19', 'Low')","('193.64', 'Very High')"
San Antonio,TX,"('165.68', 'Very High')","('51.94', 'Moderate')","('68.33', 'High')","('80.58', 'Very High')","('58.99', 'Low')","('3.92', 'Very Low')","('31.84', 'Low')","('43.86', 'Moderate')","('191.45', 'Very High')"
Sacramento,CA,"('139.47', 'Very High')","('50.84', 'Moderate')","('67.21', 'High')","('90.64', 'Very High')","('75.23', 'High')","('4.56', 'Very Low')","('27.09', 'Low')","('46.93', 'Moderate')","('181.39', 'Very High')"
Austin,TX,"('173.70', 'Very High')","('57.42', 'Moderate')","('65.81', 'High')","('82.08', 'Very High')","('63.06', 'Moderate')","('3.49', 'Very Low')","('38.20', 'Moderate')","('43.54', 'Moderate')","('193.95', 'Very High')"
Orlando,FL,"('154.49', 'Very High')","('50.43', 'Moderate')","('61.39', 'High')","('87.23', 'Very High')","('64.17', 'Moderate')","('3.18', 'Very Low')","('36.11', 'Moderate')","('34.68', 'Low')","('189.87', 'Very High')"
San Juan,PR,"('84.90', 'Moderate')","('32.97', 'Low')","('62.71', 'High')","('71.25', 'High')","('69.58', 'Moderate')","('7.70', 'Low')","('34.45', 'Low')","('48.88', 'Moderate')","('134.81', 'Moderate')"
San Jose,CA,"('150.76', 'Very High')","('52.49', 'Moderate')","('67.23', 'High')","('95.53', 'Very High')","('83.75', 'High')","('8.12', 'Moderate')","('38.30', 'Moderate')","('49.06', 'Moderate')","('176.93', 'Very High')"
Indianapolis,IN,"('181.15', 'Very High')","('39.65', 'Low')","('71.40', 'High')","('69.92', 'High')","('61.65', 'Moderate')","('1.91', 'Very Low')","('29.54', 'Low')","('43.17', 'Moderate')","('192.53', 'Very High')"
Pittsburgh,PA,"('151.68', 'Very High')","('61.83', 'High')","('72.85', 'High')","('72.13', 'High')","('69.16', 'Moderate')","('2.53', 'Very Low')","('37.08', 'Moderate')","('48.89', 'Moderate')","('184.20', 'Very High')"
Cincinnati,OH,"('170.59', 'Very High')","('51.53', 'Moderate')","('67.96', 'High')","('73.24', 'High')","('55.45', 'Low')","('2.55', 'Very Low')","('34.81', 'Low')","('42.99', 'Moderate')","('191.43', 'Very High')"
Kansas City,MO,"('160.41', 'Very High')","('41.88', 'Moderate')","('72.69', 'High')","('75.08', 'High')","('64.06', 'Moderate')","('2.53', 'Very Low')","('27.74', 'Low')","('32.21', 'Low')","('194.93', 'Very High')"
Cleveland,OH,"('133.73', 'Very High')","('36.59', 'Low')","('78.49', 'High')","('73.11', 'High')","('61.92', 'Moderate')","('1.75', 'Very Low')","('32.93', 'Low')","('39.13', 'Low')","('177.05', 'Very High')"
Columbus,OH,"('145.33', 'Very High')","('50.35', 'Moderate')","('70.66', 'High')","('71.29', 'High')","('66.19', 'Moderate')","('3.84', 'Very Low')","('31.15', 'Low')","('29.89', 'Low')","('189.37', 'Very High')"
Bronx,NY,"('?', '')","('27.69', 'Low')","('47.22', 'Moderate')","('65.48', 'High')","('?', '')","('12.25', 'High')","('60.00', 'Very High')","('74.14', 'High')","('?', '')"
Charlotte,NC,"('149.37', 'Very High')","('53.48', 'Moderate')","('69.21', 'High')","('84.05', 'Very High')","('67.99', 'Moderate')","('3.81', 'Very Low')","('35.85', 'Moderate')","('35.26', 'Low')","('190.14', 'Very High')"
Jacksonville,FL,"('154.13', 'Very High')","('43.62', 'Moderate')","('72.86', 'High')","('87.81', 'Very High')","('61.08', 'Moderate')","('3.52', 'Very Low')","('34.56', 'Low')","('38.68', 'Low')","('189.18', 'Very High')"
Milwaukee,WI,"('142.85', 'Very High')","('33.24', 'Low')","('63.83', 'High')","('60.96', 'High')","('59.72', 'Low')","('2.56', 'Very Low')","('30.28', 'Low')","('31.98', 'Low')","('174.62', 'Very High')"
Nashville,TN,"('150.29', 'Very High')","('50.18', 'Moderate')","('62.07', 'High')","('83.02', 'Very High')","('67.14', 'Moderate')","('3.66', 'Very Low')","('38.50', 'Moderate')","('37.39', 'Low')","('183.16', 'Very High')"
Salt Lake City,UT,"('163.49', 'Very High')","('65.36', 'High')","('67.35', 'High')","('66.52', 'High')","('62.17', 'Moderate')","('3.59', 'Very Low')","('33.86', 'Low')","('62.25', 'High')","('178.95', 'Very High')"
Raleigh,NC,"('161.74', 'Very High')","('60.46', 'High')","('66.00', 'High')","('83.88', 'Very High')","('66.21', 'Moderate')","('4.53', 'Very Low')","('38.28', 'Moderate')","('36.37', 'Low')","('194.74', 'Very High')"
Richmond,VA,"('161.17', 'Very High')","('51.88', 'Moderate')","('73.99', 'High')","('81.27', 'Very High')","('62.95', 'Moderate')","('3.05', 'Very Low')","('22.74', 'Very Low')","('31.31', 'Low')","('205.51', 'Very High')"
Memphis,TN,"('153.27', 'Very High')","('22.03', 'Low')","('48.23', 'Moderate')","('84.42', 'Very High')","('61.35', 'Moderate')","('2.07', 'Very Low')","('23.39', 'Very Low')","('47.34', 'Moderate')","('168.30', 'Very High')"
Oklahoma City,OK,"('154.59', 'Very High')","('50.63', 'Moderate')","('69.45', 'High')","('77.61', 'High')","('62.41', 'Moderate')","('2.73', 'Very Low')","('29.41', 'Low')","('27.19', 'Low')","('199.01', 'Very High')"
Buffalo,NY,"('127.39', 'Very High')","('51.71', 'Moderate')","('71.39', 'High')","('66.43', 'High')","('70.71', 'Moderate')","('3.23', 'Very Low')","('22.92', 'Very Low')","('29.08', 'Low')","('186.36', 'Very High')"
Fort Worth,TX,"('161.76', 'Very High')","('56.81', 'Moderate')","('64.62', 'High')","('81.56', 'Very High')","('64.96', 'Moderate')","('2.50', 'Very Low')","('27.30', 'Low')","('53.43', 'Moderate')","('187.88', 'Very High')"
New Orleans,LA,"('130.56', 'Very High')","('32.59', 'Low')","('60.94', 'High')","('86.50', 'Very High')","('72.79', 'High')","('3.04', 'Very Low')","('28.50', 'Low')","('51.99', 'Moderate')","('162.50', 'Very High')"
Tucson,AZ,"('144.89', 'Very High')","('45.43', 'Moderate')","('61.27', 'High')","('72.66', 'High')","('61.83', 'Moderate')","('3.61', 'Very Low')","('27.35', 'Low')","('28.03', 'Low')","('187.24', 'Very High')"
El Paso,TX,"('149.62', 'Very High')","('67.70', 'High')","('62.21', 'High')","('72.05', 'High')","('58.50', 'Low')","('2.70', 'Very Low')","('25.92', 'Very Low')","('45.49', 'Moderate')","('190.76', 'Very High')"
Omaha,NE,"('149.87', 'Very High')","('54.28', 'Moderate')","('77.09', 'High')","('59.79', 'Moderate')","('65.36', 'Moderate')","('2.30', 'Very Low')","('19.11', 'Very Low')","('33.02', 'Low')","('197.45', 'Very High')"
McAllen,TX,"('?', '')","('63.74', 'High')","('38.89', 'Low')","('74.25', 'High')","('?', '')","('2.27', 'Very Low')","('20.00', 'Very Low')","('36.19', 'Low')","('?', '')"
Birmingham,AL,"('126.82', 'Very High')","('35.46', 'Low')","('71.95', 'High')","('87.66', 'Very High')","('59.96', 'Low')","('7.67', 'Low')","('33.27', 'Low')","('47.92', 'Moderate')","('164.21', 'Very High')"
Albuquerque,NM,"('163.51', 'Very High')","('28.16', 'Low')","('62.71', 'High')","('67.06', 'High')","('59.24', 'Low')","('3.10', 'Very Low')","('26.50', 'Very Low')","('35.58', 'Low')","('180.93', 'Very High')"
Tulsa,OK,"('152.95', 'Very High')","('48.06', 'Moderate')","('70.59', 'High')","('79.30', 'High')","('60.36', 'Moderate')","('2.53', 'Very Low')","('19.59', 'Very Low')","('28.77', 'Low')","('202.35', 'Very High')"
Charleston,SC,"('131.68', 'Very High')","('55.03', 'Moderate')","('69.71', 'High')","('89.94', 'Very High')","('78.76', 'High')","('3.91', 'Very Low')","('30.50', 'Low')","('36.02', 'Low')","('186.99', 'Very High')"
Colorado Springs,CO,"('153.01', 'Very High')","('58.50', 'Moderate')","('63.29', 'High')","('51.44', 'Moderate')","('66.56', 'Moderate')","('2.79', 'Very Low')","('26.02', 'Very Low')","('30.19', 'Low')","('190.34', 'Very High')"
Little Rock,AR,"('177.45', 'Very High')","('39.94', 'Low')","('66.67', 'High')","('83.82', 'Very High')","('58.52', 'Low')","('2.98', 'Very Low')","('28.10', 'Low')","('25.69', 'Low')","('205.55', 'Very High')"
Madison,WI,"('158.66', 'Very High')","('66.47', 'High')","('68.39', 'High')","('51.64', 'Moderate')","('64.57', 'Moderate')","('3.10', 'Very Low')","('33.85', 'Low')","('33.27', 'Low')","('192.60', 'Very High')"
Spokane,WA,"('152.25', 'Very High')","('43.93', 'Moderate')","('65.97', 'High')","('67.12', 'High')","('65.98', 'Moderate')","('3.00', 'Very Low')","('26.12', 'Very Low')","('23.39', 'Low')","('193.37', 'Very High')"
Reno,NV,"('155.32', 'Very High')","('53.74', 'Moderate')","('62.54', 'High')","('62.28', 'High')","('68.30', 'Moderate')","('4.10', 'Very Low')","('23.32', 'Very Low')","('29.80', 'Low')","('192.32', 'Very High')"
Boise,ID,"('167.01', 'Very High')","('65.05', 'High')","('67.16', 'High')","('65.11', 'High')","('60.69', 'Moderate')","('3.93', 'Very Low')","('29.76', 'Low')","('32.12', 'Low')","('201.61', 'Very High')"
Oakland,CA,"('150.81', 'Very High')","('31.25', 'Low')","('77.54', 'High')","('96.40', 'Very High')","('84.72', 'High')","('6.43', 'Low')","('36.47', 'Moderate')","('40.26', 'Moderate')","('179.12', 'Very High')"
Pensacola,FL,"('166.84', 'Very High')","('45.91', 'Moderate')","('73.61', 'High')","('89.99', 'Very High')","('57.30', 'Low')","('2.68', 'Very Low')","('24.87', 'Very Low')","('49.43', 'Moderate')","('195.34', 'Very High')"
Honolulu,HI,"('107.06', 'High')","('52.26', 'Moderate')","('72.92', 'High')","('95.33', 'Very High')","('94.21', 'Very High')","('10.03', 'Moderate')","('41.21', 'High')","('37.08', 'Low')","('165.12', 'Very High')"
Jackson,MS,"('?', '')","('18.09', 'Very Low')","('63.89', 'High')","('86.90', 'Very High')","('?', '')","('2.70', 'Very Low')","('29.57', 'Low')","('42.14', 'Moderate')","('?', '')"
Henderson,NV,"('?', '')","('77.09', 'High')","('61.11', 'High')","('58.61', 'Moderate')","('?', '')","('3.02', 'Very Low')","('25.56', 'Very Low')","('37.51', 'Low')","('?', '')"
Savannah,GA,"('?', '')","('42.26', 'Moderate')","('52.66', 'Moderate')","('87.18', 'Very High')","('?', '')","('4.80', 'Very Low')","('23.40', 'Very Low')","('41.31', 'Moderate')","('?', '')"
Anchorage,AK,"('151.58', 'Very High')","('36.72', 'Low')","('61.47', 'High')","('41.61', 'Moderate')","('76.24', 'High')","('2.95', 'Very Low')","('25.62', 'Very Low')","('15.69', 'Very Low')","('183.61', 'Very High')"
Lubbock,TX,"('?', '')","('50.77', 'Moderate')","('77.53', 'High')","('73.25', 'High')","('?', '')","('2.06', 'Very Low')","('18.90', 'Very Low')","('35.58', 'Low')","('?', '')"
Saint Petersburg,FL,"('73.75', 'Moderate')","('62.01', 'High')","('61.45', 'High')","('60.64', 'High')","('36.67', 'Very Low')","('15.84', 'High')","('48.97', 'High')","('60.42', 'High')","('121.02', 'Moderate')"
Columbus,GA,"('145.33', 'Very High')","('50.35', 'Moderate')","('70.66', 'High')","('71.29', 'High')","('66.19', 'Moderate')","('3.84', 'Very Low')","('31.15', 'Low')","('29.89', 'Low')","('189.37', 'Very High')"
Fargo,ND,"('?', '')","('55.86', 'Moderate')","('57.78', 'Moderate')","('32.61', 'Moderate')","('?', '')","('2.33', 'Very Low')","('22.60', 'Very Low')","('4.44', 'Very Low')","('?', '')"
Brownsville,TX,"('?', '')","('42.57', 'Moderate')","('55.56', 'Moderate')","('80.89', 'Very High')","('?', '')","('2.06', 'Very Low')","('18.33', 'Very Low')","('55.79', 'Moderate')","('?', '')"
Portland,ME,"('160.09', 'Very High')","('43.08', 'Moderate')","('68.46', 'High')","('89.56', 'Very High')","('70.17', 'Moderate')","('3.71', 'Very Low')","('32.65', 'Low')","('33.19', 'Low')","('193.64', 'Very High')"
Spartanburg,SC,"('?', '')","('51.88', 'Moderate')","('59.79', 'Moderate')","('87.22', 'Very High')","('?', '')","('2.53', 'Very Low')","('16.33', 'Very Low')","('15.52', 'Very Low')","('?', '')"
Amarillo,TX,"('?', '')","('74.69', 'High')","('56.61', 'Moderate')","('69.34', 'High')","('?', '')","('2.24', 'Very Low')","('17.50', 'Very Low')","('57.40', 'Moderate')","('?', '')"
Vancouver,WA,"('110.67', 'Very High')","('56.79', 'Moderate')","('71.80', 'High')","('91.15', 'Very High')","('65.01', 'Moderate')","('13.15', 'High')","('36.71', 'Moderate')","('25.53', 'Low')","('176.74', 'Very High')"
Panama City,FL,"('49.76', 'Low')","('52.67', 'Moderate')","('60.19', 'High')","('67.84', 'High')","('44.95', 'Low')","('11.20', 'Moderate')","('32.77', 'Low')","('61.35', 'High')","('119.95', 'Low')"
Danbury,CT,"('?', '')","('73.01', 'High')","('80.09', 'Very High')","('64.39', 'High')","('?', '')","('3.77', 'Very Low')","('15.00', 'Very Low')","('24.14', 'Low')","('?', '')"
Tuscaloosa,AL,"('?', '')","('59.56', 'Moderate')","('20.83', 'Low')","('84.71', 'Very High')","('?', '')","('2.32', 'Very Low')","('30.00', 'Low')","('25.17', 'Low')","('?', '')"
Medford,OR,"('?', '')","('44.74', 'Moderate')","('70.00', 'High')","('80.48', 'Very High')","('?', '')","('3.97', 'Very Low')","('28.80', 'Low')","('34.41', 'Low')","('?', '')"
Manchester,NH,"('114.62', 'Very High')","('43.95', 'Moderate')","('74.41', 'High')","('86.95', 'Very High')","('66.42', 'Moderate')","('7.80', 'Low')","('39.03', 'Moderate')","('53.30', 'Moderate')","('157.08', 'High')"
Muskegon,MI,"('?', '')","('31.47', 'Low')","('36.11', 'Low')","('64.20', 'High')","('?', '')","('2.43', 'Very Low')","('9.50', 'Very Low')","('27.59', 'Low')","('?', '')"
Alexandria,VA,"('18.95', 'Very Low')","('54.53', 'Moderate')","('45.34', 'Moderate')","('95.50', 'Very High')","('18.86', 'Very Low')","('20.42', 'Very High')","('44.28', 'High')","('73.48', 'High')","('91.39', 'Very Low')"
Kansas City,KS,"('160.41', 'Very High')","('41.88', 'Moderate')","('72.69', 'High')","('75.08', 'High')","('64.06', 'Moderate')","('2.53', 'Very Low')","('27.74', 'Low')","('32.21', 'Low')","('194.93', 'Very High')"
Burlington,NC,"('?', '')","('56.67', 'Moderate')","('64.53', 'High')","('55.47', 'Moderate')","('?', '')","('4.05', 'Very Low')","('25.00', 'Very Low')","('13.28', 'Very Low')","('?', '')"
Roseville,CA,"('?', '')","('80.11', 'Very High')","('72.22', 'High')","('87.07', 'Very High')","('?', '')","('3.37', 'Very Low')","('33.00', 'Low')","('24.05', 'Low')","('?', '')"
Pasadena,TX,"('?', '')","('76.97', 'High')","('85.71', 'Very High')","('67.71', 'High')","('?', '')","('7.85', 'Low')","('43.00', 'High')","('38.98', 'Low')","('?', '')"
Athens,GA,"('62.00', 'Moderate')","('44.64', 'Moderate')","('58.07', 'Moderate')","('95.18', 'Very High')","('52.98', 'Low')","('15.32', 'High')","('37.56', 'Moderate')","('54.99', 'Moderate')","('126.02', 'Moderate')"
Midland,TX,"('?', '')","('73.90', 'High')","('65.74', 'High')","('78.86', 'High')","('?', '')","('1.54', 'Very Low')","('25.00', 'Very Low')","('63.79', 'High')","('?', '')"
Las Cruces,NM,"('?', '')","('58.16', 'Moderate')","('53.40', 'Moderate')","('69.33', 'High')","('?', '')","('2.91', 'Very Low')","('26.20', 'Very Low')","('24.41', 'Low')","('?', '')"
Grand Junction,CO,"('?', '')","('56.19', 'Moderate')","('70.83', 'High')","('54.04', 'Moderate')","('?', '')","('3.99', 'Very Low')","('22.50', 'Very Low')","('22.39', 'Low')","('?', '')"
Pasadena,CA,"('?', '')","('76.97', 'High')","('85.71', 'Very High')","('67.71', 'High')","('?', '')","('7.85', 'Low')","('43.00', 'High')","('38.98', 'Low')","('?', '')"
Billings,MT,"('?', '')","('51.37', 'Moderate')","('66.67', 'High')","('55.68', 'Moderate')","('?', '')","('2.83', 'Very Low')","('15.75', 'Very Low')","('33.74', 'Low')","('?', '')"
Charleston,WV,"('131.68', 'Very High')","('55.03', 'Moderate')","('69.71', 'High')","('89.94', 'Very High')","('78.76', 'High')","('3.91', 'Very Low')","('30.50', 'Low')","('36.02', 'Low')","('186.99', 'Very High')"
Burlington,VT,"('?', '')","('56.67', 'Moderate')","('64.53', 'High')","('55.47', 'Moderate')","('?', '')","('4.05', 'Very Low')","('25.00', 'Very Low')","('13.28', 'Very Low')","('?', '')"
Cambridge,MA,"('131.34', 'Very High')","('64.55', 'High')","('71.63', 'High')","('91.37', 'Very High')","('71.05', 'Moderate')","('9.78', 'Moderate')","('36.69', 'Moderate')","('38.61', 'Low')","('182.94', 'Very High')"
Richmond,CA,"('161.17', 'Very High')","('51.88', 'Moderate')","('73.99', 'High')","('81.27', 'Very High')","('62.95', 'Moderate')","('3.05', 'Very Low')","('22.74', 'Very Low')","('31.31', 'Low')","('205.51', 'Very High')"
Idaho Falls,ID,"('?', '')","('72.80', 'High')","('58.80', 'Moderate')","('45.88', 'Moderate')","('?', '')","('2.46', 'Very Low')","('13.43', 'Very Low')","('9.89', 'Very Low')","('?', '')"
Jacksonville,NC,"('154.13', 'Very High')","('43.62', 'Moderate')","('72.86', 'High')","('87.81', 'Very High')","('61.08', 'Moderate')","('3.52', 'Very Low')","('34.56', 'Low')","('38.68', 'Low')","('189.18', 'Very High')"
Renton,WA,"('187.73', 'Very High')","('64.02', 'High')","('77.78', 'High')","('90.33', 'Very High')","('67.64', 'Moderate')","('3.88', 'Very Low')","('21.75', 'Very Low')","('32.18', 'Low')","('225.36', 'Very High')"
Victoria,TX,"('96.69', 'High')","('58.29', 'Moderate')","('65.74', 'High')","('92.52', 'Very High')","('65.58', 'Moderate')","('10.62', 'Moderate')","('32.36', 'Low')","('21.97', 'Low')","('176.95', 'Very High')"
Alpharetta,GA,"('209.14', 'Very High')","('90.14', 'Very High')","('68.29', 'High')","('87.00', 'Very High')","('69.86', 'Moderate')","('5.56', 'Low')","('48.62', 'High')","('31.03', 'Low')","('227.50', 'Very High')"
Lima,OH,"('43.48', 'Low')","('29.75', 'Low')","('58.44', 'Moderate')","('97.69', 'Very High')","('31.73', 'Very Low')","('16.11', 'Very High')","('51.02', 'High')","('84.56', 'Very High')","('87.04', 'Very Low')"
Bozeman,MT,"('?', '')","('82.01', 'Very High')","('73.15', 'High')","('35.20', 'Moderate')","('?', '')","('7.36', 'Low')","('16.78', 'Very Low')","('5.54', 'Very Low')","('?', '')"
Hamilton,OH,"('110.77', 'Very High')","('44.13', 'Moderate')","('75.12', 'High')","('61.06', 'High')","('65.18', 'Moderate')","('27.87', 'Very High')","('35.83', 'Moderate')","('60.24', 'High')","('124.31', 'Moderate')"
Wellington,FL,"('127.07', 'Very High')","('66.81', 'High')","('64.19', 'High')","('97.68', 'Very High')","('63.07', 'Moderate')","('10.32', 'Moderate')","('38.85', 'Moderate')","('23.08', 'Low')","('191.03', 'Very High')"
Bristol,CT,"('121.92', 'Very High')","('57.32', 'Moderate')","('72.44', 'High')","('88.51', 'Very High')","('65.95', 'Moderate')","('9.93', 'Moderate')","('31.15', 'Low')","('46.46', 'Moderate')","('172.83', 'Very High')"
San Rafael,CA,"('?', '')","('65.00', 'High')","('82.41', 'Very High')","('93.28', 'Very High')","('?', '')","('6.17', 'Low')","('18.75', 'Very Low')","('12.07', 'Very Low')","('?', '')"
Medford,MA,"('?', '')","('44.74', 'Moderate')","('70.00', 'High')","('80.48', 'Very High')","('?', '')","('3.97', 'Very Low')","('28.80', 'Low')","('34.41', 'Low')","('?', '')"
Carson City,NV,"('?', '')","('62.25', 'High')","('48.61', 'Moderate')","('56.86', 'Moderate')","('?', '')","('3.26', 'Very Low')","('8.33', 'Very Low')","('14.71', 'Very Low')","('?', '')"
Madison,AL,"('158.66', 'Very High')","('66.47', 'High')","('68.39', 'High')","('51.64', 'Moderate')","('64.57', 'Moderate')","('3.10', 'Very Low')","('33.85', 'Low')","('33.27', 'Low')","('192.60', 'Very High')"
Columbus,IN,"('145.20', 'Very High')","('50.35', 'Moderate')","('70.66', 'High')","('71.29', 'High')","('66.30', 'Moderate')","('3.84', 'Very Low')","('31.15', 'Low')","('29.89', 'Low')","('189.31', 'Very High')"
City,State,Purchasing Power Index,Safety Index,Health Care Index,Climate Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,ƒQuality of Life Index:
Anchorage,AK,"('151.45', 'Very High')","('36.72', 'Low')","('61.47', 'High')","('41.61', 'Moderate')","('76.37', 'High')","('2.95', 'Very Low')","('25.62', 'Very Low')","('15.69', 'Very Low')","('183.55', 'Very High')"
Lubbock,TX,"('?', '')","('50.77', 'Moderate')","('77.53', 'High')","('73.25', 'High')","('?', '')","('2.06', 'Very Low')","('18.90', 'Very Low')","('35.58', 'Low')","('?', '')"
Saint Petersburg,FL,"('73.68', 'Moderate')","('62.01', 'High')","('61.45', 'High')","('60.64', 'High')","('36.73', 'Very Low')","('15.84', 'High')","('48.97', 'High')","('60.42', 'High')","('120.99', 'Moderate')"
Columbus,GA,"('145.20', 'Very High')","('50.35', 'Moderate')","('70.66', 'High')","('71.29', 'High')","('66.30', 'Moderate')","('3.84', 'Very Low')","('31.15', 'Low')","('29.89', 'Low')","('189.31', 'Very High')"
Fargo,ND,"('?', '')","('55.86', 'Moderate')","('57.78', 'Moderate')","('32.61', 'Moderate')","('?', '')","('2.33', 'Very Low')","('22.60', 'Very Low')","('4.44', 'Very Low')","('?', '')"
Brownsville,TX,"('?', '')","('42.57', 'Moderate')","('55.56', 'Moderate')","('80.89', 'Very High')","('?', '')","('2.06', 'Very Low')","('18.33', 'Very Low')","('55.79', 'Moderate')","('?', '')"
Portland,ME,"('159.95', 'Very High')","('43.08', 'Moderate')","('68.46', 'High')","('89.56', 'Very High')","('70.29', 'Moderate')","('3.71', 'Very Low')","('32.65', 'Low')","('33.19', 'Low')","('193.57', 'Very High')"
Spartanburg,SC,"('?', '')","('51.88', 'Moderate')","('59.79', 'Moderate')","('87.22', 'Very High')","('?', '')","('2.53', 'Very Low')","('16.33', 'Very Low')","('15.52', 'Very Low')","('?', '')"
Amarillo,TX,"('?', '')","('74.69', 'High')","('56.61', 'Moderate')","('69.34', 'High')","('?', '')","('2.24', 'Very Low')","('17.50', 'Very Low')","('57.40', 'Moderate')","('?', '')"
Vancouver,WA,"('110.57', 'Very High')","('56.79', 'Moderate')","('71.80', 'High')","('91.15', 'Very High')","('65.12', 'Moderate')","('13.15', 'High')","('36.71', 'Moderate')","('25.53', 'Low')","('176.69', 'Very High')"
